"STATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WESD"
"USC00441593","2008-03-30",,,"0.00","0.0","0.0","53","36","38",
"USC00441593","2008-03-31",,,"0.17","0.0","0.0","44","37","38",
"USC00441593","2008-05-01",,,"0.00","0.0","0.0","65","42","45",
"USC00441593","2008-05-02",,,"0.00","0.0","0.0","78","45","58",
"USC00441593","2008-05-03",,,"0.00","0.0","0.0","83","58","61",
"USC00441593","2008-05-04",,,"0.00","0.0","0.0","80","61","62",
"USC00441593","2008-05-05",,,"0.00","0.0","0.0","77","50","53",
"USC00441593","2008-05-06",,,"0.00","0.0","0.0","75","53","57",
"USC00441593","2008-05-07",,,"0.00","0.0","0.0","77","55","60",
"USC00441593","2008-05-08",,,"0.00","0.0","0.0","83","60","64",
"USC00441593","2008-05-09",,,"3.21","0.0","0.0","75","60","62",
"USC00441593","2008-05-10",,,"0.21","0.0","0.0","70","54","56",
"USC00441593","2008-05-11",,,"0.00","0.0","0.0","64","47","49",
"USC00441593","2008-05-12",,,"0.83","0.0","0.0","54","44","45",
"USC00441593","2008-05-13",,,"0.01","0.0","0.0","57","45","49",
"USC00441593","2008-05-14",,,"0.00","0.0","0.0","71","49","55",
"USC00441593","2008-05-15",,,"0.00","0.0","0.0","71","55","62",
"USC00441593","2008-05-16",,,"0.30","0.0","0.0","80","60","61",
"USC00441593","2008-05-17",,,"0.01","0.0","0.0","77","49","54",
"USC00441593","2008-05-18",,,"0.00","0.0","0.0","76","54","58",
"USC00441593","2008-05-19",,,"0.09","0.0","0.0","66","50","52",
"USC00441593","2008-05-20",,,"0.21","0.0","0.0","71","48","48",
"USC00441593","2008-05-21",,,"0.04","0.0","0.0","70","48","52",
"USC00441593","2008-05-22",,,"0.00","0.0","0.0","70","51","54",
"USC00441593","2008-05-23",,,"0.00","0.0","0.0","73","51","53",
"USC00441593","2008-05-24",,,"0.00","0.0","0.0","75","53","56",
"USC00441593","2008-05-25",,,"0.00","0.0","0.0","74","56","57",
"USC00441593","2008-05-26",,,"0.00","0.0","0.0","78","56","58",
"USC00441593","2008-05-27",,,"0.00","0.0","0.0","85","58","67",
"USC00441593","2008-05-28",,,"0.02","0.0","0.0","80","57","57",
"USC00441593","2008-05-29",,,"0.00","0.0","0.0","70","48","52",
"USC00441593","2008-05-30",,,"0.00","0.0","0.0","79","52","61",
"USC00441593","2008-05-31",,,"0.00","0.0","0.0","86","61","69",
"USC00441593","2008-06-01",,,"0.07","0.0","0.0","88","69","70",
"USC00441593","2008-06-02",,,"0.01","0.0","0.0","87","60","62",
"USC00441593","2008-06-03",,,"0.00","0.0","0.0","82","60","62",
"USC00441593","2008-06-04",,,"0.65","0.0","0.0","82","62","66",
"USC00441593","2008-06-05",,,"0.16","0.0","0.0","87","66","73",
"USC00441593","2008-06-06",,,"0.00","0.0","0.0","90","71","72",
"USC00441593","2008-06-07",,,"0.00","0.0","0.0","91","72","76",
"USC00441593","2008-06-08",,,"0.00","0.0","0.0","97","75","77",
"USC00441593","2008-06-09",,,"0.00","0.0","0.0","97","76","78",
"USC00441593","2008-06-10",,,"0.00","0.0","0.0","97","76","77",
"USC00441593","2008-06-11",,,"0.00","0.0","0.0","97","70","71",
"USC00441593","2008-06-12",,,"0.00","0.0","0.0","87","64","67",
"USC00441593","2008-06-13",,,"0.00","0.0","0.0","90","67","72",
"USC00441593","2008-06-14",,,"0.00","0.0","0.0","90","68","69",
"USC00441593","2008-06-15",,,"0.37","0.0","0.0","93","66","68",
"USC00441593","2008-06-16",,,"0.06","0.0","0.0","85","65","71",
"USC00441593","2008-06-17",,,"0.09","0.0","0.0","89","61","65",
"USC00441593","2008-06-18",,,"0.00","0.0","0.0","81","58","60",
"USC00441593","2008-06-19",,,"0.00","0.0","0.0","82","56","59",
"USC00441593","2008-06-20",,,"0.00","0.0","0.0","80","57","61",
"USC00441593","2008-06-21",,,"0.00","0.0","0.0","85","61","69",
"USC00441593","2008-06-22",,,"0.02","0.0","0.0","89","62","65",
"USC00441593","2008-06-23",,,"0.24","0.0","0.0","88","62","64",
"USC00441593","2008-06-24",,,"0.24","0.0","0.0","86","62","64",
"USC00441593","2008-06-25",,,"0.00","0.0","0.0","85","62","65",
"USC00441593","2008-06-26",,,"0.00","0.0","0.0","88","65","72",
"USC00441593","2008-06-27",,,"0.00","0.0","0.0","96","72","76",
"USC00441593","2008-06-28",,,"0.00","0.0","0.0","94","70","72",
"USC00441593","2008-06-29",,,"0.00","0.0","0.0","95","70","73",
"USC00441593","2008-06-30",,,"0.20","0.0","0.0","87","64","74",
"USC00441593","2008-07-01",,,"0.14","0.0","0.0","84","61","63",
"USC00441593","2008-07-02",,,"0.00","0.0","0.0","79","62","64",
"USC00441593","2008-07-03",,,"0.00","0.0","0.0","88","64","67",
"USC00441593","2008-07-04",,,"0.00","0.0","0.0","92","67","70",
"USC00441593","2008-07-05",,,"0.92","0.0","0.0","87","65","66",
"USC00441593","2008-07-06",,,"3.09","0.0","0.0","83","66","67",
"USC00441593","2008-07-07",,,"0.02","0.0","0.0","83","66","67",
"USC00441593","2008-07-08",,,"0.47","0.0","0.0","85","65","67",
"USC00441593","2008-07-09",,,"0.15","0.0","0.0","87","67","68",
"USC00441593","2008-07-10",,,"1.61","0.0","0.0","82","68","72",
"USC00441593","2008-07-11",,,"0.00","0.0","0.0","84","66","69",
"USC00441593","2008-07-12",,,"0.00","0.0","0.0","88","69","71",
"USC00441593","2008-07-13",,,"0.00","0.0","0.0","89","68","70",
"USC00441593","2008-07-14",,,"0.15","0.0","0.0","91","69","71",
"USC00441593","2008-07-15",,,"0.00","0.0","0.0","86","67","69",
"USC00441593","2008-07-16",,,"0.00","0.0","0.0","85","66","67",
"USC00441593","2008-07-17",,,"0.00","0.0","0.0","87","67","70",
"USC00441593","2008-07-18",,,"0.00","0.0","0.0","91","68","71",
"USC00441593","2008-07-19",,,"0.00","0.0","0.0","92","69","71",
"USC00441593","2008-07-20",,,"0.00","0.0","0.0","92","71","73",
"USC00441593","2008-07-21",,,"0.00","0.0","0.0","94","72","75",
"USC00441593","2008-07-22",,,"0.00","0.0","0.0","95","73","75",
"USC00441593","2008-07-23",,,"0.01","0.0","0.0","95","71","72",
"USC00441593","2008-07-24",,,"0.02","0.0","0.0","85","62","65",
"USC00441593","2008-07-25",,,"0.00","0.0","0.0","84","62","64",
"USC00441593","2008-07-26",,,"0.00","0.0","0.0","87","64","68",
"USC00441593","2008-07-27",,,"0.00","0.0","0.0","90","68","72",
"USC00441593","2008-07-28",,,"0.01","0.0","0.0","91","67","68",
"USC00441593","2008-07-29",,,"0.02","0.0","0.0","86","68","69",
"USC00441593","2008-07-30",,,"0.00","0.0","0.0","94","69","74",
"USC00441593","2008-07-31",,,"0.00","0.0","0.0","96","74","77",
"USC00441593","2008-08-01",,,"0.02","0.0","0.0","81","70","73",
"USC00441593","2008-08-02",,,"0.00","0.0","0.0","95","73","75",
"USC00441593","2008-08-03",,,"0.01","0.0","0.0","96","66","68",
"USC00441593","2008-08-04",,,"0.00","0.0","0.0","88","67","67",
"USC00441593","2008-08-05",,,"0.00","0.0","0.0","94","67","72",
"USC00441593","2008-08-06",,,"0.00","0.0","0.0","87","72","75",
"USC00441593","2008-08-07",,,"0.00","0.0","0.0","97","71","73",
"USC00441593","2008-08-08",,,"0.04","0.0","0.0","91","66","68",
"USC00441593","2008-08-09",,,"0.00","0.0","0.0","85","63","63",
"USC00441593","2008-08-10",,,"0.00","0.0","0.0","87","61","65",
"USC00441593","2008-08-11",,,"0.05","0.0","0.0","91","60","62",
"USC00441593","2008-08-12",,,"0.00","0.0","0.0","79","60","62",
"USC00441593","2008-08-13",,,"0.00","0.0","0.0","88","62","64",
"USC00441593","2008-08-14",,,"0.05","0.0","0.0","85","62","64",
"USC00441593","2008-08-15",,,"0.00","0.0","0.0","89","63","66",
"USC00441593","2008-08-16",,,"0.02","0.0","0.0","80","63","65",
"USC00441593","2008-08-17",,,"0.00","0.0","0.0","86","63","66",
"USC00441593","2008-08-18",,,"0.00","0.0","0.0","88","64","67",
"USC00441593","2008-08-19",,,"0.00","0.0","0.0","91","67","68",
"USC00441593","2008-08-20",,,"0.00","0.0","0.0","94","65","65",
"USC00441593","2008-08-21",,,"0.00","0.0","0.0","84","65","67",
"USC00441593","2008-08-22",,,"0.00","0.0","0.0","87","59","60",
"USC00441593","2008-08-23",,,"0.00","0.0","0.0","88","60","66",
"USC00441593","2008-08-24",,,"0.00","0.0","0.0","88","65","66",
"USC00441593","2008-08-25",,,"0.00","0.0","0.0","91","66","68",
"USC00441593","2008-08-26",,,"0.00","0.0","0.0","90","67","68",
"USC00441593","2008-08-27",,,"0.12","0.0","0.0","76","63","63",
"USC00441593","2008-08-28",,,"4.99","0.0","0.0","64","58","63",
"USC00441593","2008-08-29",,,"0.46","0.0","0.0","70","63","67",
"USC00441593","2008-08-30",,,"0.00","0.0","0.0","82","67","68",
"USC00441593","2008-08-31",,,"0.02","0.0","0.0","90","68","71",
